AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players
3195790,White Knuckle,4/17/2025,Early Access,Early Access;Parkour;First-Person;Horror;3D Platformer;Roguelike;Platformer;Pixel Graphics;Adventure;Precision Platformer,14.99,0,94,7833,Unknown,234990,264
236110,Dungeon Defenders II,6/20/2017,Action,Multiplayer;Online Co-Op;Co-op Campaign;Tower Defense;Singleplayer;Strategy RPG;Survival;Action RPG;Building;Third Person,0,0,66,2983,Unknown,89490,351
289650,Assassin's Creed® Unity,11/11/2014,Action,Open World;Parkour;Assassin;Co-op;Stealth;Historical;Action;Adventure;Multiplayer;Third Person,29.99,0,75,75213,Unknown,2256390,373
239120,Final Fantasy III (3D Remake),5/27/2014,RPG,RPG;JRPG;Turn-Based;Remake;Classic;Fantasy;Singleplayer;Great Soundtrack;Retro;Adventure,6.39,60,75,2930,Unknown,87900,48
1573360,Infinity Kingdom,7/1/2021,Adventure,Strategy;4X;Wargame;MOBA;Card Battler;Tactical RPG;3D;Split Screen;Cartoony;War,0,0,30,0,Unknown,0,0
558990,Opus Magnum,12/7/2017,Indie,Puzzle;Programming;Automation;Indie;Simulation;Logic;Singleplayer;Steampunk;Great Soundtrack;Difficult,19.99,0,99,5304,Unknown,159120,139
633230,NARUTO TO BORUTO: SHINOBI STRIKER,6/29/2023,Action,Anime;Multiplayer;Character Customization;Action;Fighting;Ninja;Co-op;PvP;Open World;RPG,19.99,0,75,42356,Unknown,1270680,255
3642000,Space Warlord Baby Trading Simulator,1/29/2026,Simulation,Strategy;Simulation;Roguelite;Gambling;Crime;Economy;Management;Roguelike;Anime;3D,19.99,0,98,378,Unknown,11340,0
3008740,Winter Burrow,11/12/2025,Adventure,Cozy;Exploration;Crafting;Survival;Cute;Nature;Building;Base Building;Life Sim;2D,19.99,0,94,2261,Unknown,67830,0
590830,s&box,26-Apr,Action,Sandbox;Casual;Game Development;Building;Level Editor;Character Customization;Action;3D Platformer;FPS;Third-Person Shooter,0,0,0,0,Unknown,0,0
221680,Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,12/19/2024,Casual,Music;Rhythm;Education;Simulation;Rock Music;Casual;Family Friendly;Tutorial;Moddable;Software,9.99,0,76,15222,Unknown,456660,683
386940,Ultimate Chicken Horse,3/4/2016,Action,Multiplayer;Party;Funny;Local Co-Op;Platformer;Party Game;PvP;Local Multiplayer;Level Editor;4 Player Local,14.99,0,95,39645,Unknown,1189350,350
1874170,Shredders,3/16/2022,Action,Sports;Snowboarding;Realistic;Multiplayer;Singleplayer;Open World;Physics;Nature;Character Customization;3D,17.99,40,92,3635,Unknown,109050,68
1989270,Slay the Princess — The Pristine Cut,10/23/2023,Adventure,Visual Novel;Choices Matter;Psychological Horror;Horror;Story Rich;Choose Your Own Adventure;Hand-drawn;Romance;Lore-Rich;Point & Click,17.99,0,94,28545,Unknown,856350,134
2627260,NINJA GAIDEN 4,10/20/2025,Action,Action;Hack and Slash;Adventure;Ninja;Gore;Violent;Action-Adventure;Singleplayer;3D;Difficult,69.99,0,81,7296,Unknown,218880,0
2828860,The Forever Winter,9/24/2024,Action,Early Access;Extraction Shooter;PvE;Post-apocalyptic;Looter Shooter;Third-Person Shooter;Horror;Difficult;Dystopian ;Third Person,19.49,35,42,19790,Unknown,593700,379
1281220,Task Force Admiral - Vol.1: American Carrier Battles,1/27/2026,Action,Early Access;Naval;Tactical;Military;Naval Combat;Historical;Simulation;RTS;Strategy;PvE,39.99,0,91,430,Unknown,12900,0
